Index,Number,Street Name,Details,Region,city,state
96,223,East Liberty Street,Zwerdling-Darling Block,D,Ann Arbor,Michigan
96,224,East Liberty Street,Zwerdling-Darling Block,D,Ann Arbor,Michigan
96,225,East Liberty Street,Zwerdling-Darling Block,D,Ann Arbor,Michigan
96,226,East Liberty Street,Zwerdling-Darling Block,D,Ann Arbor,Michigan
96,227,East Liberty Street,Zwerdling-Darling Block,D,Ann Arbor,Michigan
96,228,East Liberty Street,Zwerdling-Darling Block,D,Ann Arbor,Michigan
96,229,East Liberty Street,Zwerdling-Darling Block,D,Ann Arbor,Michigan
96,230,East Liberty Street,Zwerdling-Darling Block,D,Ann Arbor,Michigan
96,231,East Liberty Street,Zwerdling-Darling Block,D,Ann Arbor,Michigan
96,232,East Liberty Street,Zwerdling-Darling Block,D,Ann Arbor,Michigan
96,233,East Liberty Street,Zwerdling-Darling Block,D,Ann Arbor,Michigan
96,234,East Liberty Street,Zwerdling-Darling Block,D,Ann Arbor,Michigan
96,235,East Liberty Street,Zwerdling-Darling Block,D,Ann Arbor,Michigan
96,236,East Liberty Street,Zwerdling-Darling Block,D,Ann Arbor,Michigan
96,237,East Liberty Street,Zwerdling-Darling Block,D,Ann Arbor,Michigan
96,238,East Liberty Street,Zwerdling-Darling Block,D,Ann Arbor,Michigan
96,239,East Liberty Street,Zwerdling-Darling Block,D,Ann Arbor,Michigan
96,240,East Liberty Street,Zwerdling-Darling Block,D,Ann Arbor,Michigan
96,241,East Liberty Street,Zwerdling-Darling Block,D,Ann Arbor,Michigan
96,242,East Liberty Street,Zwerdling-Darling Block,D,Ann Arbor,Michigan
96,243,East Liberty Street,Zwerdling-Darling Block,D,Ann Arbor,Michigan
96,244,East Liberty Street,Zwerdling-Darling Block,D,Ann Arbor,Michigan
96,245,East Liberty Street,Zwerdling-Darling Block,D,Ann Arbor,Michigan
96,246,East Liberty Street,Zwerdling-Darling Block,D,Ann Arbor,Michigan
96,247,East Liberty Street,Zwerdling-Darling Block,D,Ann Arbor,Michigan
96,248,East Liberty Street,Zwerdling-Darling Block,D,Ann Arbor,Michigan
96,249,East Liberty Street,Zwerdling-Darling Block,D,Ann Arbor,Michigan
96,250,East Liberty Street,Zwerdling-Darling Block,D,Ann Arbor,Michigan
96,251,East Liberty Street,Zwerdling-Darling Block,D,Ann Arbor,Michigan
96,252,East Liberty Street,Zwerdling-Darling Block,D,Ann Arbor,Michigan
96,253,East Liberty Street,Zwerdling-Darling Block,D,Ann Arbor,Michigan
96,254,East Liberty Street,Zwerdling-Darling Block,D,Ann Arbor,Michigan
96,255,East Liberty Street,Zwerdling-Darling Block,D,Ann Arbor,Michigan
96,256,East Liberty Street,Zwerdling-Darling Block,D,Ann Arbor,Michigan
96,257,East Liberty Street,Zwerdling-Darling Block,D,Ann Arbor,Michigan
96,258,East Liberty Street,Zwerdling-Darling Block,D,Ann Arbor,Michigan
96,259,East Liberty Street,Zwerdling-Darling Block,D,Ann Arbor,Michigan
96,260,East Liberty Street,Zwerdling-Darling Block,D,Ann Arbor,Michigan
96,261,East Liberty Street,Zwerdling-Darling Block,D,Ann Arbor,Michigan
96,262,East Liberty Street,Zwerdling-Darling Block,D,Ann Arbor,Michigan
96,263,East Liberty Street,Zwerdling-Darling Block,D,Ann Arbor,Michigan
96,264,East Liberty Street,Zwerdling-Darling Block,D,Ann Arbor,Michigan
96,265,East Liberty Street,Zwerdling-Darling Block,D,Ann Arbor,Michigan
96,266,East Liberty Street,Zwerdling-Darling Block,D,Ann Arbor,Michigan
96,267,East Liberty Street,Zwerdling-Darling Block,D,Ann Arbor,Michigan
96,268,East Liberty Street,Zwerdling-Darling Block,D,Ann Arbor,Michigan
96,269,East Liberty Street,Zwerdling-Darling Block,D,Ann Arbor,Michigan
96,270,East Liberty Street,Zwerdling-Darling Block,D,Ann Arbor,Michigan
96,271,East Liberty Street,Zwerdling-Darling Block,D,Ann Arbor,Michigan
96,272,East Liberty Street,Zwerdling-Darling Block,D,Ann Arbor,Michigan
96,273,East Liberty Street,Zwerdling-Darling Block,D,Ann Arbor,Michigan
96,274,East Liberty Street,Zwerdling-Darling Block,D,Ann Arbor,Michigan
96,275,East Liberty Street,Zwerdling-Darling Block,D,Ann Arbor,Michigan
96,276,East Liberty Street,Zwerdling-Darling Block,D,Ann Arbor,Michigan
96,277,East Liberty Street,Zwerdling-Darling Block,D,Ann Arbor,Michigan
96,278,East Liberty Street,Zwerdling-Darling Block,D,Ann Arbor,Michigan
96,279,East Liberty Street,Zwerdling-Darling Block,D,Ann Arbor,Michigan
96,280,East Liberty Street,Zwerdling-Darling Block,D,Ann Arbor,Michigan
96,281,East Liberty Street,Zwerdling-Darling Block,D,Ann Arbor,Michigan
96,282,East Liberty Street,Zwerdling-Darling Block,D,Ann Arbor,Michigan
96,283,East Liberty Street,Zwerdling-Darling Block,D,Ann Arbor,Michigan
96,284,East Liberty Street,Zwerdling-Darling Block,D,Ann Arbor,Michigan
96,285,East Liberty Street,Zwerdling-Darling Block,D,Ann Arbor,Michigan
96,286,East Liberty Street,Zwerdling-Darling Block,D,Ann Arbor,Michigan
96,287,East Liberty Street,Zwerdling-Darling Block,D,Ann Arbor,Michigan
96,288,East Liberty Street,Zwerdling-Darling Block,D,Ann Arbor,Michigan
96,289,East Liberty Street,Zwerdling-Darling Block,D,Ann Arbor,Michigan
96,290,East Liberty Street,Zwerdling-Darling Block,D,Ann Arbor,Michigan
96,291,East Liberty Street,Zwerdling-Darling Block,D,Ann Arbor,Michigan
96,292,East Liberty Street,Zwerdling-Darling Block,D,Ann Arbor,Michigan
96,293,East Liberty Street,Zwerdling-Darling Block,D,Ann Arbor,Michigan
97,321,East Liberty Street,Enoch James House,D,Ann Arbor,Michigan
98,519,East Liberty Street,Michigan Theater Building,D,Ann Arbor,Michigan
98,520,East Liberty Street,Michigan Theater Building,D,Ann Arbor,Michigan
